date,day,close,volume,open,high,low
2017/11/08,66,176.24,24358920,174.66,176.24,174.33
2017/11/07,65,174.81,24332120,173.91,175.25,173.6
2017/11/06,64,174.25,34770480,172.365,174.99,171.72
2017/11/03,63,172.5,59332210,174,174.26,171.12
2017/11/02,62,168.11,39668100,167.64,168.5,165.28
2017/11/01,61,166.89,33482970,169.87,169.94,165.61
2017/10/31,60,169.04,35779520,167.9,169.6499,166.94
2017/10/30,59,166.72,44651420,163.89,168.07,163.72
2017/10/27,58,163.05,44387770,159.29,163.6,158.7
2017/10/26,57,157.41,16916650,157.23,157.8295,156.78
2017/10/25,56,156.41,21175670,156.91,157.55,155.27
2017/10/24,55,157.1,17633730,156.29,157.42,156.2
2017/10/23,54,156.17,21888930,156.89,157.69,155.5
2017/10/20,53,156.25,23907540,156.61,157.75,155.96
2017/10/19,52,155.98,42357420,156.75,157.08,155.02
2017/10/18,51,159.76,16252850,160.42,160.71,159.6
2017/10/17,50,160.47,18969700,159.78,160.87,159.23
2017/10/16,49,159.88,24093300,157.9,160,157.65
2017/10/13,48,156.99,16367780,156.73,157.28,156.41
2017/10/12,47,156,16380570,156.35,157.37,155.7299
2017/10/11,46,156.55,16861450,155.97,156.98,155.75
2017/10/10,45,155.9,15603520,156.055,158,155.1
2017/10/09,44,155.84,16243080,155.81,156.73,155.485
2017/10/06,43,155.3,17223790,154.97,155.49,154.56
2017/10/05,42,155.39,21215870,154.18,155.44,154.05
2017/10/04,41,153.48,20088940,153.63,153.86,152.46
2017/10/03,40,154.48,16216800,154.01,155.09,153.91
2017/10/02,39,153.81,18631540,154.26,154.45,152.72
2017/09/29,38,154.12,26204670,153.21,154.13,152
2017/09/28,37,153.28,21983410,153.89,154.28,152.7
2017/09/27,36,154.23,25402270,153.8,154.7189,153.54
2017/09/26,35,153.14,35907770,151.78,153.92,151.69
2017/09/25,34,150.55,44366140,149.99,151.83,149.16
2017/09/22,33,151.89,46575410,152.02,152.27,150.56
2017/09/21,32,153.39,37350060,155.8,155.8,152.75
2017/09/20,31,156.07,52126240,157.9,158.26,153.83
2017/09/19,30,158.73,20565620,159.51,159.77,158.44
2017/09/18,29,158.67,28157630,160.11,160.5,157.995
2017/09/15,28,159.88,48846060,158.47,160.97,158
2017/09/14,27,158.28,23637310,158.99,159.4,158.09
2017/09/13,26,159.65,44866280,159.87,159.96,157.91
2017/09/12,25,160.86,71574560,162.61,163.96,158.77
2017/09/11,24,161.5,31506890,160.5,162.05,159.89
2017/09/08,23,158.63,28411740,160.86,161.15,158.53
2017/09/07,22,161.26,21905160,162.09,162.24,160.36
2017/09/06,21,161.91,21610300,162.71,162.99,160.52
2017/09/05,20,162.08,29491910,163.75,164.25,160.56
2017/09/01,19,164.05,16564340,164.8,164.94,163.63
2017/08/31,18,164,26729940,163.64,164.52,163.48
2017/08/30,17,163.35,27215770,163.8,163.89,162.61
2017/08/29,16,162.91,29451050,160.1,163.12,160
2017/08/28,15,161.47,25649890,160.14,162,159.93
2017/08/25,14,159.86,25184600,159.65,160.56,159.27
2017/08/24,13,159.27,19782170,160.43,160.74,158.55
2017/08/23,12,159.98,19376940,159.07,160.47,158.88
2017/08/22,11,159.78,21564890,158.23,160,158.02
2017/08/21,10,157.21,26330070,157.5,157.89,155.1101
2017/08/18,9,157.5,27391950,157.86,159.5,156.72
2017/08/17,8,157.86,27377960,160.52,160.71,157.84
2017/08/16,7,160.95,27607370,161.94,162.51,160.15
2017/08/15,6,161.6,29377630,160.66,162.195,160.14
2017/08/14,5,159.85,22074760,159.32,160.21,158.75
2017/08/11,4,157.48,26208970,156.6,158.5728,156.07
2017/08/10,3,155.32,39636190,159.9,160,154.63
2017/08/09,2,161.06,26060430,159.26,161.27,159.11
2017/08/08,1,160.08,36127490,158.6,161.83,158.27
